action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Not Determined,115929,[],CHEMBL716818,Inhibition of human Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)[S+]([O-])c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,,CHEMBL75433,,CHEMBL75433,,0,http://www.openphacts.org/units/Nanomolar,135616,=,1,0,=,,IC50,nM,,,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,
,,120889,[],CHEMBL716818,Inhibition of human Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@H](CC(=O)NO)S(=O)(=O)c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '25.85', 'le': '0.53', 'lle': '5.47', 'sei': '8.84'}",CHEMBL1788203,,CHEMBL1788203,7.38,0,http://www.openphacts.org/units/Nanomolar,135620,=,1,1,=,,IC50,nM,,42.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.042
,,122085,[],CHEMBL716818,Inhibition of human Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)S(=O)(=O)c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '27.76', 'le': '0.57', 'lle': '6.01', 'sei': '9.49'}",CHEMBL263501,,CHEMBL263501,7.92,0,http://www.openphacts.org/units/Nanomolar,135627,=,1,1,=,,IC50,nM,,12.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.012
,,124613,[],CHEMBL716818,Inhibition of human Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@@H](CC(=O)NO)S(=O)(=O)c1ccccc1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '28.19', 'le': '0.58', 'lle': '6.14', 'sei': '9.64'}",CHEMBL2092878,,CHEMBL2092878,8.05,0,http://www.openphacts.org/units/Nanomolar,135619,=,1,1,=,,IC50,nM,,9.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.009
,,129779,[],CHEMBL716818,Inhibition of human Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '26.95', 'le': '0.56', 'lle': '5.66', 'sei': '9.41'}",CHEMBL77258,,CHEMBL77258,7.85,0,http://www.openphacts.org/units/Nanomolar,135606,=,1,1,=,,IC50,nM,,14.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.014
,,143225,[],CHEMBL716818,Inhibition of human Matrix metalloprotease-12,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)S(=O)(=O)c1ccc2ccccc2c1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '23.51', 'le': '0.47', 'lle': '4.82', 'sei': '9.45'}",CHEMBL78001,,CHEMBL78001,7.89,0,http://www.openphacts.org/units/Nanomolar,135608,=,1,1,=,,IC50,nM,,13.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.013
,,445856,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '18.49', 'le': '0.37', 'lle': '5.95', 'sei': '5.05'}",CHEMBL148406,,CHEMBL148406,6.72,0,http://www.openphacts.org/units/Nanomolar,285617,=,1,1,=,,IC50,nM,,191.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.191
,,449803,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '20.80', 'le': '0.41', 'lle': '6.05', 'sei': '7.05'}",CHEMBL147882,,CHEMBL147882,7.54,0,http://www.openphacts.org/units/Nanomolar,285616,=,1,1,=,,IC50,nM,,29.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.029
,,452379,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2c(cc1O)CCN(S(=O)(=O)c1ccccc1)C2C(=O)NO,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '18.99', 'le': '0.38', 'lle': '6.00', 'sei': '6.19'}",CHEMBL148171,,CHEMBL148171,7.19,0,http://www.openphacts.org/units/Nanomolar,285612,=,1,1,=,,IC50,nM,,65.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.065
,,452388,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '20.30', 'le': '0.38', 'lle': '6.39', 'sei': '6.39'}",CHEMBL19611,ILOMASTAT,CHEMBL19611,7.89,0,http://www.openphacts.org/units/Nanomolar,285610,=,1,1,=,,IC50,nM,,13.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.013
