,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL1788203,CCCC[C@H](CC(=O)NO)S(=O)(=O)c1ccccc1,active,285.365,1.9145999999999999,2.0,4.0,7.376750709602099
1,CHEMBL263501,CCCCC(CC(=O)NO)S(=O)(=O)c1ccccc1,active,285.365,1.9145999999999999,2.0,4.0,7.920818753952375
2,CHEMBL2092878,CCCC[C@@H](CC(=O)NO)S(=O)(=O)c1ccccc1,active,285.365,1.9145999999999999,2.0,4.0,8.045757490560675
3,CHEMBL77258,CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1,active,291.41300000000007,2.1881999999999993,2.0,4.0,7.853871964321762
4,CHEMBL78001,CCCCC(CC(=O)NO)S(=O)(=O)c1ccc2ccccc2c1,active,335.42500000000007,3.067800000000001,2.0,4.0,7.886056647693163
5,CHEMBL148406,Nc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1,active,363.39500000000004,0.7678999999999998,4.0,6.0,6.718966632752273
6,CHEMBL147882,Cc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1,active,362.40700000000004,1.4941200000000001,3.0,5.0,7.5376020021010435
7,CHEMBL148171,COc1cc2c(cc1O)CCN(S(=O)(=O)c1ccccc1)C2C(=O)NO,active,378.406,1.1943,3.0,6.0,7.187086643357144
8,CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,active,388.4680000000002,1.4989999999999999,5.0,4.0,7.886056647693163
9,CHEMBL424130,O=C(NO)C1c2ccc(O)cc2CCN1S(=O)(=O)c1cc(Cl)ccc1Cl,active,417.2700000000001,2.4925000000000006,3.0,5.0,6.769551078621726
10,CHEMBL147881,O=C(NO)C1c2ccc(OCc3ccccc3)cc2CCN1S(=O)(=O)c1ccccc1,active,438.50500000000017,3.0591000000000017,2.0,5.0,7.2441251443275085
11,CHEMBL148214,COc1ccc(S(=O)(=O)N2CCc3cc(O)c(OC)cc3C2C(=O)NO)cc1,active,408.4320000000001,1.2028999999999994,3.0,7.0,7.698970004336019
13,CHEMBL358539,COc1ccc(S(=O)(=O)N2CCc3cc(OCc4ccccc4)ccc3C2C(=O)NO)cc1,active,468.53100000000006,3.067700000000001,2.0,6.0,7.2441251443275085
14,CHEMBL147489,O=C(NO)C1c2ccc(O)cc2CCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,active,393.3770000000001,1.0938999999999999,3.0,7.0,7.229147988357855
15,CHEMBL147604,O=C(NO)C1c2ccc(OCc3ccccc3)cc2CCN1S(=O)(=O)c1cc(Cl)ccc1Cl,active,507.3950000000002,4.3659000000000034,2.0,5.0,6.031050319018657
16,CHEMBL146718,Cc1ccc(S(=O)(=O)N2CCc3cc(OCc4ccccc4)ccc3C2C(=O)NO)cc1,active,452.53200000000004,3.3675200000000007,2.0,5.0,7.142667503568732
17,CHEMBL146289,O=C(NO)C1c2ccc(O)cc2CCN1S(=O)(=O)c1ccccc1,active,348.38000000000005,1.1857,3.0,5.0,6.375717904164332
18,CHEMBL116944,C[C@@H](C[C@@H](CO)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,active,358.39400000000006,2.1012,4.0,5.0,8.455931955649724
19,CHEMBL118497,C[C@@H](C[C@@H](COC(=O)CCC(=O)O)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,active,458.46700000000016,2.5168999999999997,4.0,7.0,8.585026652029182
20,CHEMBL290377,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,548.6640000000002,5.573700000000006,3.0,3.0,8.086186147616283
21,CHEMBL77163,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,583.1090000000002,6.227100000000007,3.0,3.0,8.769551078621726
22,CHEMBL111856,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,active,410.42300000000023,1.9508999999999999,3.0,6.0,9.619788758288394
23,CHEMBL77995,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,578.6900000000002,5.582300000000006,3.0,4.0,8.397940008672037
24,CHEMBL78233,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccccc1)C(C)(C)C,active,458.5390000000002,3.9829000000000025,3.0,3.0,7.031517051446065
25,CHEMBL308277,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,613.1350000000001,6.235700000000008,3.0,4.0,8.301029995663981
26,CHEMBL298647,O=C(CN1Cc2c(Cl)cccc2NC1=O)NO,inactive,255.66100000000003,1.1928999999999998,3.0,3.0,4.0
27,CHEMBL299946,O=C(CN1Cc2c(Cl)cccc2NS1(=O)=O)NO,inactive,291.716,0.3176999999999998,3.0,4.0,4.0
28,CHEMBL181817,CC1CCC(OC(=O)NC(=O)c2cc(-c3ccc(OC(F)(F)F)cc3)cs2)CC1,active,427.4440000000001,5.7588000000000035,1.0,5.0,6.3979400086720375
29,CHEMBL179285,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,active,414.4860000000001,5.032800000000003,2.0,4.0,7.853871964321762
30,CHEMBL368013,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccccc3)cc2)cs1,active,392.52400000000006,4.144100000000004,1.0,4.0,6.3979400086720375
31,CHEMBL367148,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(OC(F)(F)F)cc3)cs2)cc1,active,435.42300000000006,5.6887200000000036,1.0,5.0,6.3979400086720375
32,CHEMBL181682,COc1ccc(-c2csc(C(=O)NCCN3CCOCC3)c2)cc1,inactive,346.4520000000001,2.4857000000000005,1.0,5.0,4.886056647693163
33,CHEMBL181682,COc1ccc(-c2csc(C(=O)NCCN3CCOCC3)c2)cc1,active,346.4520000000001,2.4857000000000005,1.0,5.0,6.638272163982407
34,CHEMBL179177,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(-c4ccccc4)cc3)cs2)cc1,active,427.5250000000001,6.457120000000005,1.0,4.0,7.154901959985743
35,CHEMBL182038,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,active,393.51200000000006,3.539100000000003,1.0,5.0,7.0
36,CHEMBL182038,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,active,393.51200000000006,3.539100000000003,1.0,5.0,7.0
37,CHEMBL180762,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(-c4ccccc4O)cc3)cs2)cc1,active,443.5240000000001,6.162720000000005,2.0,5.0,7.154901959985743
38,CHEMBL180875,O=C(NCCN1CCOCC1)c1cc(-c2ccc(C3CCCCC3)cc2)cs1,active,398.57200000000023,4.524800000000004,1.0,4.0,6.337242168318426
39,CHEMBL178652,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(OC(F)(F)F)cc2)cs1,active,421.3960000000001,4.869400000000002,2.0,4.0,6.7447274948966935
41,CHEMBL181878,CC(=O)c1ccc(-c2ccc(-c3csc(C(=O)NCCN4CCOCC4)c3)cc2)cc1,active,434.56100000000026,4.346700000000003,1.0,5.0,7.2441251443275085
42,CHEMBL183410,CCOCCC1(Oc2ccc(Oc3ccc(-c4nnco4)cc3)cc2)C(=O)NC(=O)C(N)C1=O,active,466.4500000000002,1.6258999999999995,2.0,10.0,7.5376020021010435
43,CHEMBL366111,O=C(NO)[C@@]1(O)COCC[C@H]1S(=O)(=O)c1ccc(OCc2ccc(Cl)cc2Cl)cc1,active,476.3340000000002,2.371500000000001,3.0,7.0,9.022276394711152
44,CHEMBL199666,CCCCCCC(CC(=O)O)C(=O)c1ccc(C#Cc2ccc(Cl)cc2)cc1,active,396.9140000000001,5.983800000000006,1.0,2.0,6.698970004336019
45,CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,active,388.4680000000002,1.4989999999999999,5.0,4.0,7.886056647693163
47,CHEMBL201206,O=C(O)CC(Cc1ccccc1)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,368.4320000000001,4.602700000000003,1.0,2.0,6.221848749616356
48,CHEMBL379247,O=C(O)CC(CC1CCCC1)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,360.45300000000003,4.940300000000004,1.0,2.0,6.494850021680094
49,CHEMBL201298,CCCCCCC(CC(=O)O)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,362.46900000000005,5.3304000000000045,1.0,2.0,6.346787486224656
50,CHEMBL202875,CCC(CC(=O)O)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,306.361,3.7700000000000022,1.0,2.0,6.318758762624412
52,CHEMBL199314,O=C(O)CCC(=O)c1ccc(C#CCOCc2ccccc2)cc1,inactive,322.35999999999996,3.3024000000000022,1.0,3.0,4.589391457431632
53,CHEMBL373275,CCCCCCCCC#Cc1ccc(C(=O)CCC(=O)O)cc1,inactive,314.425,4.836200000000004,1.0,2.0,4.903785414653595
54,CHEMBL203199,O=C(O)CCC(=O)c1ccc(C#CCO)cc1,inactive,232.23499999999999,1.0779,2.0,3.0,4.6074789100680675
56,CHEMBL394363,Brc1cc(-c2nccc3[nH]cnc23)[nH]c1Br,inactive,341.994,3.4779999999999998,2.0,2.0,4.360513510731414
57,CHEMBL230085,CN(C)c1nc2c(-c3cc(Br)c(Br)[nH]3)nccc2[nH]1,inactive,385.063,3.5440000000000014,2.0,3.0,4.0
58,CHEMBL230084,CNc1nc2c(-c3cc(Br)c(Br)[nH]3)nccc2n1C,inactive,385.063,3.530100000000002,2.0,3.0,4.0
59,CHEMBL394362,Cn1c(N)nc2c(-c3cc(Br)c(Br)[nH]3)nccc21,inactive,371.036,3.0706000000000007,2.0,3.0,4.244887733604929
60,CHEMBL395712,CNc1nc2c(-c3cc(Br)c(Br)[nH]3)nccc2[nH]1,inactive,371.03599999999994,3.519700000000001,3.0,3.0,4.982966660701219
61,CHEMBL230196,Cn1c(-c2nccc3[nH]c(N)nc23)cc(Br)c1Br,inactive,371.036,3.0706000000000007,2.0,3.0,4.0
62,CHEMBL230194,Nc1nc2c(-c3ccc[nH]3)nccc2[nH]1,inactive,199.21699999999998,1.5351999999999997,3.0,3.0,4.0
63,CHEMBL395799,Nc1nc2c(-c3ccc(Br)[nH]3)nccc2[nH]1,inactive,278.113,2.2976999999999994,3.0,3.0,4.0
64,CHEMBL231012,Nc1nc2c(-c3cc(Br)c[nH]3)nccc2[nH]1,inactive,278.113,2.2976999999999994,3.0,3.0,4.0
65,CHEMBL12318,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,inactive,244.891,0.43070000000000036,4.0,2.0,3.9172146296835497
67,CHEMBL237366,COc1ccc(C2=NNC3(S2)C(=O)N(c2ccccc2C)c2ccc(C)cc23)cc1,inactive,415.5180000000002,4.841340000000004,1.0,5.0,4.657577319177793
68,CHEMBL401435,COc1ccc(C2=NNC3(S2)C(=O)N(Cc2ccccc2)c2ccc(C)cc23)cc1,inactive,415.51800000000014,4.401420000000003,1.0,5.0,4.657577319177793
70,CHEMBL290377,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,548.6640000000002,5.573700000000006,3.0,3.0,8.090016305060155
71,CHEMBL78233,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccccc1)C(C)(C)C,active,458.5390000000002,3.9829000000000025,3.0,3.0,7.029978734171634
72,CHEMBL308277,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,613.1350000000001,6.235700000000008,3.0,4.0,8.299988937677888
73,CHEMBL77995,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,578.6900000000002,5.582300000000006,3.0,4.0,8.400007822415901
74,CHEMBL77163,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,583.1090000000002,6.227100000000007,3.0,3.0,8.770062314092065
75,CHEMBL445939,CC(C)OC(=O)c1cccc(=O)[nH]1,inactive,181.191,0.9400999999999999,1.0,3.0,4.173925197299174
76,CHEMBL428762,C(=C/c1ccccc1)\Cn1nnc(Cc2cccnc2)n1,inactive,277.33099999999996,2.3723,0.0,4.0,3.8239087409443187
77,CHEMBL400358,c1ccc(CCCn2nnc(Cc3cccnc3)n2)cc1,inactive,279.34700000000004,2.2917000000000005,0.0,4.0,3.8239087409443187
78,CHEMBL251465,c1ccc(CCn2nnc(Cc3cccnc3)n2)cc1,inactive,265.32000000000005,1.9016,0.0,4.0,3.8239087409443187
79,CHEMBL399998,c1cncc(Cc2nn[nH]n2)c1,inactive,161.16800000000003,0.18549999999999994,1.0,4.0,3.8239087409443187
80,CHEMBL249249,C(=C/c1ccccc1)\Cn1cc(C2=NCCO2)nn1,inactive,254.29299999999995,1.7682999999999995,0.0,4.0,4.214670164989233
81,CHEMBL249863,c1ccc(CCCn2cc(C3=NCCO3)nn2)cc1,inactive,256.30899999999997,1.6877,0.0,4.0,3.8239087409443187
82,CHEMBL400851,c1ccc(CCn2cc(C3=NCCO3)nn2)cc1,inactive,242.28199999999998,1.2975999999999999,0.0,4.0,3.8239087409443187
83,CHEMBL249862,c1ccc(Cn2cc(C3=NCCO3)nn2)cc1,inactive,228.25499999999997,1.1032,0.0,4.0,3.8239087409443187
84,CHEMBL249861,CCCCCCn1cc(C2=NCCO2)nn1,inactive,222.29199999999997,1.6352,0.0,4.0,3.8239087409443187
85,CHEMBL249860,C1=C(n2cc(C3=NCCO3)nn2)CCCC1,inactive,218.25999999999996,1.4698,0.0,4.0,3.8239087409443187
